name,gene,b_terrestris_B_100,b_terrestris_B_246,b_terrestris_B_36,b_terrestris_B_39,b_terrestris_B_415,b_terrestris_B_9,b_terrestris_G_87
LOC100645370,LOC100645370,239,268,152,204,214,275,283
LOC100643847,LOC100643847,30,24,22,23,29,26,55
LOC100642486,LOC100642486,25,50,17,20,40,72,62
LOC100651483,LOC100651483,46,40,22,30,42,30,24
LOC100648434,LOC100648434,118,140,233,87,130,158,105
LOC105665787,LOC105665787,24,12,8,9,18,16,4
LOC100647021,LOC100647021,44,30,39,24,42,37,27
LOC105665718,LOC105665718,2,18,25,133,13,49,398
LOC100649767,LOC100649767,10,13,12,13,40,0,6
LOC105665717,LOC105665717,47,29,0,10,55,3,53
LOC100644718,LOC100644718,41,26,0,0,23,7,21
LOC100647963,LOC100647963,122,140,4,15,121,177,8
LOC125385191,LOC125385191,0,4,0,0,4,2,0
LOC100648744,LOC100648744,76,75,25,36,52,48,22
LOC100648360,LOC100648360,42,56,12,24,58,46,54
LOC100649196,LOC100649196,72,64,51,40,58,87,72
LOC100645486,LOC100645486,45,41,16,21,56,16,24
LOC125385130,LOC125385130,0,0,0,0,0,0,0
LOC105665786,LOC105665786,0,6,0,0,4,50,0
LOC100645193,LOC100645193,54,84,24,16,53,54,87
LOC100650762,LOC100650762,47,25,54,20,53,71,35
LOC100643282,LOC100643282,45,21,15,10,28,55,14
LOC100649768,LOC100649768,13,3,7,4,2,5,0
LOC125385096,LOC125385096,0,0,80,53,0,37,0
LOC100648939,LOC100648939,0,0,130,76,0,70,0
LOC100648823,LOC100648823,0,8,0,0,0,0,0
LOC100649292,LOC100649292,2,0,2,0,0,0,0
LOC110119316,LOC110119316,0,0,0,0,0,0,0
LOC100648631,LOC100648631,41,49,32,14,46,35,30
LOC100649058,LOC100649058,42,24,32,26,17,32,26
LOC105665807,LOC105665807,25,27,38,26,24,31,20
LOC100648132,LOC100648132,72,72,57,125,67,43,165
LOC100648247,LOC100648247,72,71,49,38,83,94,76
LOC105665805,LOC105665805,10,6,13,2,22,17,4
LOC100647930,LOC100647930,22,24,0,9,22,2,2
LOC105666770,LOC105666770,0,0,0,0,0,0,0
LOC105666769,LOC105666769,0,0,2,5,0,7,0
LOC125385357,LOC125385357,0,0,0,0,0,0,0
LOC105666879,LOC105666879,0,0,2,0,0,2,0
LOC100648731,LOC100648731,19,22,20,5,12,104,14
LOC100644543,LOC100644543,205,247,103,137,167,151,155
LOC100648844,LOC100648844,2,4,0,0,4,0,0
LOC125385297,LOC125385297,10,6,2,0,5,0,0
LOC100648960,LOC100648960,89,57,22,3,29,15,2
LOC100644785,LOC100644785,428,609,187,240,466,306,487
LOC100648119,LOC100648119,114,116,86,65,91,123,117
LOC100647048,LOC100647048,358,306,265,284,337,218,209
LOC100649908,LOC100649908,25,60,22,16,40,36,17
LOC100650750,LOC100650750,96,95,42,69,68,160,147
LOC100642474,LOC100642474,40,45,8,0,27,10,9
LOC105666870,LOC105666870,6,10,0,0,4,8,7
LOC100642272,LOC100642272,291,290,574,478,166,457,102
LOC100649315,LOC100649315,2,2,0,0,0,0,0
LOC100652302,LOC100652302,62,106,36,68,100,92,107
LOC125385298,LOC125385298,0,0,0,0,0,0,0
LOC100652182,LOC100652182,179,213,126,83,194,232,201
LOC100649432,LOC100649432,88,105,54,17,71,103,111
LOC100642788,LOC100642788,234,173,97,112,162,283,117
LOC100642909,LOC100642909,1,5,0,0,6,17,4
LOC105666871,LOC105666871,4,6,17,6,0,49,2
LOC105665620,LOC105665620,84,54,35,30,52,247,75
LOC100643513,LOC100643513,19,26,17,12,15,68,20
LOC100643146,LOC100643146,133,179,70,83,156,153,148
LOC105666872,LOC105666872,13,39,4,18,30,19,18
LOC100643392,LOC100643392,4,6,14,0,8,84,0
LOC100643269,LOC100643269,24,46,37,33,44,33,68
LOC100649557,LOC100649557,19,16,7,6,10,38,2
LOC100649676,LOC100649676,21,18,4,4,12,19,3
LOC100649791,LOC100649791,4,12,3,1,10,8,4
LOC100643751,LOC100643751,118,117,114,84,111,84,158
